name,message
袁弘,恭喜新手爸妈上岗[心]闺女可是来治爹的呀，专治各种不服[偷笑][嘻嘻]
郭晓婷,[打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call]
每天都会睡饱饱,我操[疑问][疑问][疑问][疑问][疑问]
一念执着pt,老大 愿 你与你所爱之人 余生 平安喜乐 一念 会 支持你 http://t.cn/A69E1c9X
冻了一梨, “从此孤岛遇上孤岛，海陆相连，绵延万里”
盘子觉得好像星空哦,携全体胡椒祝福你哦哥 还要一年拍十部戏[心] http://t.cn/A69E1tn4
北緯有魚·,院子里种好胡椒了吗  以后要跟孩子说 这是你的宝贝[憧憬] http://t.cn/A69E1VRJ
小生洛格,挺好的，恭喜
起风了唯宥努力生存,彭于晏：？！？
古月椒盐,整个震惊我，正在看手机，还以为是营销号乱写[苦涩]果然老胡找的是圈外人[泪][苦涩][苦涩]一时半会我还有点懵，没有缓过来[苦涩][允悲]
奶茶戒糖中,先祝福哥哥，希望我们小公主健康成长。另外，胡歌，你现在是当爸爸的人了，一定要注意自己的拍戏播出频率，可不能和以前一样几年才播一部了，还没拍完的抓紧拍完，还没进组的赶紧进，还没上映的就去催一催，孩子奶粉钱不便宜啊。
小bin_bin_,卧槽！真的是突然的惊喜啊！恭喜胡歌喜得千金！胡歌啊，都有公主了是不是要赶紧多进几个组好好赚奶粉钱了？而且，除了我们的公主，你还有一大群胡椒等着你喂粮呢，我们也好久没粮吃了啊！再次恭喜胡歌喜得爱女！还有，速速进新组！！！
少年天斩九歌,卧槽 恭喜我胡找到幸福喜得千金 接下来快快进组吧 古装谍战悬疑都来吧一年十部剧不能少 多赚点奶粉钱[打call][打call][打call] 永远爱胡歌[心][心][心] http://t.cn/A69E1tgZ
奶油芋圆不加甜,恭喜老胡啊！！！！还好没当上吴磊伴郎（bushi）[doge]
兔软团,图片评论 http://t.cn/A69E1ioW
夏磊Leon,！！！！！恭喜老胡[鲜花][鲜花][鲜花][鲜花]
真的不能再喝了aaa,卧槽卧槽！！！！！[哆啦A梦害怕]
李艾,恭喜恭喜！
宝总在逃秘书,胡歌，你现在是当爸爸的人了，一定要注意自己的拍戏播出频率，可不能和以前一样几年才播一部了，还没拍完的比如《繁花》抓紧拍完，还没进组的赶紧进，还没上映的比如《驯鹿》《不虚此行》去催一催，孩子奶粉钱不便宜啊。
男德0,震惊了 http://t.cn/A69E1HWq
五菱汽车,[送花花][送花花]恭喜老胡，以后看谁还敢说小五家的车是单身座驾[doge]
古月哥欠-胡歌官网,#胡歌[超话]# 兔年来自老胡@胡歌 的第一条好消息！前路繁花似锦 风光正好 我们会继续陪伴你一起幸福下去～[心]
周杰伦_bot,我断网了[苦涩]
不知名烦死了选手,彭于晏该急了[吃惊]
歪梨诗包,恭喜老胡！一家人就是要整整齐齐[爱你] http://t.cn/A69EB6dZ
再吃一颗山竹,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？！？！！？！？！！？？！！！！？？！！！！！！！！！！！！！！
7523027525_807,？？？？啥时候有的女朋友？？？
跟我谭恋爱,不是……没有人意难平吗[悲伤][悲伤][悲伤]
胡歌是人间理想,分点桃花运给我！！！！
月亮走了十公里,祝福你，我一直不知道这一天来临的时候是什么样的心情，你幸福开心是最美好的事情。
真的不能再喝了aaa,老婆是谁？？[哆啦A梦害怕][哆啦A梦害怕]
小皮潇,彭于晏：他不急 那我也不急[喵喵]
冯骏骅,啊啊啊啊！女儿！！！！
一只鸡拌一只鹅,我去[傻眼]
原来竟是柠檬百香郭,消息很突然  但还是恭喜[赢牛奶][赢牛奶][赢牛奶]
呈琰一定回成,一定要幸福啊！
嘿得闲饮茶,恭喜恭喜[赢牛奶]
男德0,彭于晏：瞒着我偷偷当爸了 http://t.cn/A69E13Tm
偷偷说_品相一般,恭喜恭喜
CENTER13,哇哇哇哇哇哇哇 恭喜恭喜恭喜老大[鼓掌][鼓掌][鼓掌] 找到了属于自己的这份甜蜜小幸福 小小胡也来啦还是个女儿 果然是份大礼 啊啊啊啊啊啊啊太太太激动了幸福感满满[打call][打call][打call]
Fire光明草,真好～[心]老胡的孩子是个兔宝宝哟[兔子]
-梁小凉,哇，恭喜胡先生，小小胡终于出生了[打call][打call][打call][心][心][心]
命-理-午戌轩,我去年有写过胡歌，终于在今年开花结果了，恭喜🎉
随便玩玩de,我靠
一念执着pt,老大 愿 你与你所爱之人 余生 平安喜乐 一念 会 支持你[作揖] http://t.cn/A69E1f3X
留苏巧克力,恭喜我哥喜提千金兔宝宝[doge]
吃维C了没,卧槽？什么时候结婚的
从始至终的平安,恭喜李逍遥！！！
晓雪,祝福[心]帅弟弟荣升帅爸爸，弟妹是个很好的女孩[心]
葫芦丝ig,哥，院子里种好胡椒了吗？以后要跟孩子说， 这是你的宝贝[憧憬]
